Formula,Name,M+2H,M-H,Exact Mass,M+H,M+Na,2M-H,2M+H,2M+Na,,,,,,,,,,
C12H14,LIA-0725-V,301.52262,600.0234,601.0307,602.0380,624.0297,1201.0541,1203.0687,1225.0604,,,,,,,1000000,1000000,1000000,1000000
C12H14,Mediocidin,302.02262,601.0234,602.0307,603.0380,625.0297,1203.0541,1205.0687,1227.0604,,,,,,,1000000,1000000,1000000,1000000
C12H14,Mycelin,302.52262,602.0234,603.0307,604.0380,626.0297,1205.0541,1207.0687,1229.0604,,,,,,,1000000,1000000,1000000,1000000
C6H9NO2S,N-Acetylhomocystein-thiolactone B2,303.02262,603.0234,604.0307,605.0380,627.0297,1207.0541,1209.0687,1231.0604,,,,,,,1000000,1000000,1000000,1000000
C10H9NO,4-(Hydroxymethyl)quinoline,303.52262,604.0234,605.0307,606.0380,628.0297,1209.0541,1211.0687,1233.0604,,,,,,,1000000,1000000,1000000,1000000
C9H9N3,Quinazolinamine,304.02262,605.0234,606.0307,607.0380,629.0297,1211.0541,1213.0687,1235.0604,,,,,,,1000000,1000000,1000000,1000000
C8H17NO2,N-[2-(1-Hydroxy-4-methylpentyl)]acetamid,304.52262,606.0234,607.0307,608.0380,630.0297,1213.0541,1215.0687,1237.0604,,,,,,,1000000,1000000,1000000,1000000
C8H21N3,N-3-Aminopropylcadaverine,305.02262,607.0234,608.0307,609.0380,631.0297,1215.0541,1217.0687,1239.0604,,,,,,,1000000,1000000,1000000,1000000
C8H21N3,Homospermidine,305.52262,608.0234,609.0307,610.0380,632.0297,1217.0541,1219.0687,1241.0604,,,,,,,1000000,1000000,1000000,1000000
C5H8N2O4,4-Formylaminooxyvinylglycine,306.02262,609.0234,610.0307,611.0380,633.0297,1219.0541,1221.0687,1243.0604,,,,,,,1000000,1000000,1000000,1000000
C9H8N2O,2-Methyl-3H-quinazolin-4-one,306.52262,610.0234,611.0307,612.0380,634.0297,1221.0541,1223.0687,1245.0604,,,,,,,1000000,1000000,1000000,1000000
C7H12O4,"(2S,3R,4R,6R)-2,3,4-Trihydroxy-6-methylc",307.02262,611.0234,612.0307,613.0380,635.0297,1223.0541,1225.0687,1247.0604,,,,,,,1000000,1000000,1000000,1000000
C7H12O4,Gabosine F; ent-Gabosine B,307.52262,612.0234,613.0307,614.0380,636.0297,1225.0541,1227.0687,1249.0604,,,,,,,1000000,1000000,1000000,1000000
C7H12O4,Pimelic acid,308.02262,613.0234,614.0307,615.0380,637.0297,1227.0541,1229.0687,1251.0604,,,,,,,1000000,1000000,1000000,1000000
C7H12O4,Gabosine O,308.52262,614.0234,615.0307,616.0380,638.0297,1229.0541,1231.0687,1253.0604,,,,,,,1000000,1000000,1000000,1000000
C6H12N2O3,L-2-Amino-4-(2-aminoethoxy)-3-butenoic a,309.02262,615.0234,616.0307,617.0380,639.0297,1231.0541,1233.0687,1255.0604,,,,,,,1000000,1000000,1000000,1000000
C10H12N2,Tryptamine,309.52262,616.0234,617.0307,618.0380,640.0297,1233.0541,1235.0687,1257.0604,,,,,,,1000000,1000000,1000000,1000000
C7H16N2O2,U 64846; U 64864,310.02262,617.0234,618.0307,619.0380,641.0297,1235.0541,1237.0687,1259.0604,,,,,,,1000000,1000000,1000000,1000000
C7H16N2O2,MC902 B,310.52262,618.0234,619.0307,620.0380,642.0297,1237.0541,1239.0687,1261.0604,,,,,,,1000000,1000000,1000000,1000000
C7H16N2O2,MC902 E,311.02262,619.0234,620.0307,621.0380,643.0297,1239.0541,1241.0687,1263.0604,,,,,,,1000000,1000000,1000000,1000000
C9H7NO2,Indole-3-carboxylic acid,311.52262,620.0234,621.0307,622.0380,644.0297,1241.0541,1243.0687,1265.0604,,,,,,,1000000,1000000,1000000,1000000
C5H11N3O3,Azoxybacilin,312.02262,621.0234,622.0307,623.0380,645.0297,1243.0541,1245.0687,1267.0604,,,,,,,1000000,1000000,1000000,1000000
C10H11NO,3-(2-Hydroxyethyl)indole; Tryptophol; be,312.52262,622.0234,623.0307,624.0380,646.0297,1245.0541,1247.0687,1269.0604,,,,,,,1000000,1000000,1000000,1000000
C10H11NO,Abikoviromycin; Latumcidin; Virocidin; S,313.02262,623.0234,624.0307,625.0380,647.0297,1247.0541,1249.0687,1271.0604,,,,,,,1000000,1000000,1000000,1000000
C10H11NO,U-77863,313.52262,624.0234,625.0307,626.0380,648.0297,1249.0541,1251.0687,1273.0604,,,,,,,1000000,1000000,1000000,1000000
C10H11NO,Streptazone B1,314.02262,625.0234,626.0307,627.0380,649.0297,1251.0541,1253.0687,1275.0604,,,,,,,1000000,1000000,1000000,1000000
C10H11NO,Streptazone B2,314.52262,626.0234,627.0307,628.0380,650.0297,1253.0541,1255.0687,1277.0604,,,,,,,1000000,1000000,1000000,1000000
C10H11NO,Streptazone C,315.02262,627.0234,628.0307,629.0380,651.0297,1255.0541,1257.0687,1279.0604,,,,,,,1000000,1000000,1000000,1000000
C7H15NO3,2-Deoxyvalidamine,315.52262,628.0234,629.0307,630.0380,652.0297,1257.0541,1259.0687,1281.0604,,,,,,,1000000,1000000,1000000,1000000
C8H6N2O2,"1H-Quinazoline-2,4-dione",316.02262,629.0234,630.0307,631.0380,653.0297,1259.0541,1261.0687,1283.0604,,,,,,,1000000,1000000,1000000,1000000
C7H14O4,"(1R,3R)-5-Hydroxymethyl-cyclohexane-1,2,",316.52262,630.0234,631.0307,632.0380,654.0297,1261.0541,1263.0687,1285.0604,,,,,,,1000000,1000000,1000000,1000000
C7H14O4,"(1R,3R)-5-Hydroxymethyl-cyclohexane-1,2,",317.02262,631.0234,632.0307,633.0380,655.0297,1263.0541,1265.0687,1287.0604,,,,,,,1000000,1000000,1000000,1000000
C6H14N2O3,A-10947,317.52262,632.0234,633.0307,634.0380,656.0297,1265.0541,1267.0687,1289.0604,,,,,,,1000000,1000000,1000000,1000000
C6H14N2O3,d-Oxy-L-lysine,318.02262,633.0234,634.0307,635.0380,657.0297,1267.0541,1269.0687,1291.0604,,,,,,,1000000,1000000,1000000,1000000
C10H14N2,2-Isopropenyl-5-isopropyl-pyrazine,318.52262,634.0234,635.0307,636.0380,658.0297,1269.0541,1271.0687,1293.0604,,,,,,,1000000,1000000,1000000,1000000
C8H5NO3,6-Hydroxy-isatin,319.02262,635.0234,636.0307,637.0380,659.0297,1271.0541,1273.0687,1295.0604,,,,,,,1000000,1000000,1000000,1000000
C7H5N3O2,3-Nitro-1H-indazole,319.52262,636.0234,637.0307,638.0380,660.0297,1273.0541,1275.0687,1297.0604,,,,,,,1000000,1000000,1000000,1000000
C6H5N5O,2-Amino-4-hydroxy-pterin,320.02262,637.0234,638.0307,639.0380,661.0297,1275.0541,1277.0687,1299.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9N3O4,L-beta-(3-Hydroxyureido)-alanine; SF-129,320.52262,638.0234,639.0307,640.0380,662.0297,1277.0541,1279.0687,1301.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9N3O4,Homoalanosine,321.02262,639.0234,640.0307,641.0380,663.0297,1279.0541,1281.0687,1303.0604,,,,,,,1000000,1000000,1000000,1000000
C9H9NO2,"2-N-Hydroxy-3,4-dihydroisoquinoline-1-on",321.52262,640.0234,641.0307,642.0380,664.0297,1281.0541,1283.0687,1305.0604,,,,,,,1000000,1000000,1000000,1000000
C6H13NO4,1-Deoxynojirimycin; Moranolin; S-GI; SG-,322.02262,641.0234,642.0307,643.0380,665.0297,1283.0541,1285.0687,1307.0604,,,,,,,1000000,1000000,1000000,1000000
C6H13NO4,Aureovuscin,322.52262,642.0234,643.0307,644.0380,666.0297,1285.0541,1287.0687,1309.0604,,,,,,,1000000,1000000,1000000,1000000
C6H13NO4,LIA-0735,323.02262,643.0234,644.0307,645.0380,667.0297,1287.0541,1289.0687,1311.0604,,,,,,,1000000,1000000,1000000,1000000
C6H13NO4,1-Deoxymannojirimycin,323.52262,644.0234,645.0307,646.0380,668.0297,1289.0541,1291.0687,1313.0604,,,,,,,1000000,1000000,1000000,1000000
C6H13NO4,L-Perosamine,324.02262,645.0234,646.0307,647.0380,669.0297,1291.0541,1293.0687,1315.0604,,,,,,,1000000,1000000,1000000,1000000
C6H13NO4,S-11-P,324.52262,646.0234,647.0307,648.0380,670.0297,1293.0541,1295.0687,1317.0604,,,,,,,1000000,1000000,1000000,1000000
C6H13NO4,2-Deoxystreptamine,325.02262,647.0234,648.0307,649.0380,671.0297,1295.0541,1297.0687,1319.0604,,,,,,,1000000,1000000,1000000,1000000
C10H13NO,N-(2-Phenylethyl)acetamide; beta-Phenyle,325.52262,648.0234,649.0307,650.0380,672.0297,1297.0541,1299.0687,1321.0604,,,,,,,1000000,1000000,1000000,1000000
C10H13NO,Streptazone D,326.02262,649.0234,650.0307,651.0380,673.0297,1299.0541,1301.0687,1323.0604,,,,,,,1000000,1000000,1000000,1000000
C10H13NO,Dihydroabikoviromycin,326.52262,650.0234,651.0307,652.0380,674.0297,1301.0541,1303.0687,1325.0604,,,,,,,1000000,1000000,1000000,1000000
C7H4N2O3,TAN 665-A,327.02262,651.0234,652.0307,653.0380,675.0297,1303.0541,1305.0687,1327.0604,,,,,,,1000000,1000000,1000000,1000000
C5H8O6,D-Lyxuronic acid,327.52262,652.0234,653.0307,654.0380,676.0297,1305.0541,1307.0687,1329.0604,,,,,,,1000000,1000000,1000000,1000000
C5H8O6,4-Keto-D-arabonic acid,328.02262,653.0234,654.0307,655.0380,677.0297,1307.0541,1309.0687,1331.0604,,,,,,,1000000,1000000,1000000,1000000
C9H8O3,p-Coumaric acid; E-p-Hydroxycinnamic aci,328.52262,654.0234,655.0307,656.0380,678.0297,1309.0541,1311.0687,1333.0604,,,,,,,1000000,1000000,1000000,1000000
C10H12O2,Rheosmin; Raspberry ketone; 4-(p-Hydroxy,329.02262,655.0234,656.0307,657.0380,679.0297,1311.0541,1313.0687,1335.0604,,,,,,,1000000,1000000,1000000,1000000
C10H12O2,2-Phenylethyl acetate,329.52262,656.0234,657.0307,658.0380,680.0297,1313.0541,1315.0687,1337.0604,,,,,,,1000000,1000000,1000000,1000000
C9H12N2O,G-10; (2-Ethylphenyl)-urea,330.02262,657.0234,658.0307,659.0380,681.0297,1315.0541,1317.0687,1339.0604,,,,,,,1000000,1000000,1000000,1000000
C10H16N2,"2,5-Diisopropyl-pyrazine",330.52262,658.0234,659.0307,660.0380,682.0297,1317.0541,1319.0687,1341.0604,,,,,,,1000000,1000000,1000000,1000000
C10H16N2,"2,5-Diethyl-3,6-dimethylpyrazine",331.02262,659.0234,660.0307,661.0380,683.0297,1319.0541,1321.0687,1343.0604,,,,,,,1000000,1000000,1000000,1000000
C10H16N2,"2,6-Diethyl-3,5-dimethylpyrazine",331.52262,660.0234,661.0307,662.0380,684.0297,1321.0541,1323.0687,1345.0604,,,,,,,1000000,1000000,1000000,1000000
C10H16N2,"2-Butyl-3,6-dimethylpyrazine",332.02262,661.0234,662.0307,663.0380,685.0297,1323.0541,1325.0687,1347.0604,,,,,,,1000000,1000000,1000000,1000000
C10H16N2,"3-Isobutyl-2,5-dimethyl-pyrazine",332.52262,662.0234,663.0307,664.0380,686.0297,1325.0541,1327.0687,1349.0604,,,,,,,1000000,1000000,1000000,1000000
C12H20,Octalin,333.02262,663.0234,664.0307,665.0380,687.0297,1327.0541,1329.0687,1351.0604,,,,,,,1000000,1000000,1000000,1000000
C8H7NO3,N-Formyl anthranilic acid,333.52262,664.0234,665.0307,666.0380,688.0297,1329.0541,1331.0687,1353.0604,,,,,,,1000000,1000000,1000000,1000000
C9H11NO2,BMY 40660,334.02262,665.0234,666.0307,667.0380,689.0297,1331.0541,1333.0687,1355.0604,,,,,,,1000000,1000000,1000000,1000000
C9H11NO2,Anthranilic acid ethyl ester,334.52262,666.0234,667.0307,668.0380,690.0297,1333.0541,1335.0687,1357.0604,,,,,,,1000000,1000000,1000000,1000000
C9H11NO2,p-(Acetylamino)benzyl alcohol,335.02262,667.0234,668.0307,669.0380,691.0297,1335.0541,1337.0687,1359.0604,,,,,,,1000000,1000000,1000000,1000000
C5H10S3,"3-Ethyl-5-methyl-1,2,4-trithiolane",335.52262,668.0234,669.0307,670.0380,692.0297,1337.0541,1339.0687,1361.0604,,,,,,,1000000,1000000,1000000,1000000
C7H6N2O3,4-Hydroxy-3-nitrosobenzamide,336.02262,669.0234,670.0307,671.0380,693.0297,1339.0541,1341.0687,1363.0604,,,,,,,1000000,1000000,1000000,1000000
C5H10O6,D-Arabonic acid,336.52262,670.0234,671.0307,672.0380,694.0297,1341.0541,1343.0687,1365.0604,,,,,,,1000000,1000000,1000000,1000000
C5H10O6,D-Ribonic acid,337.02262,671.0234,672.0307,673.0380,695.0297,1343.0541,1345.0687,1367.0604,,,,,,,1000000,1000000,1000000,1000000
C9H10O3,"Desepoxy-4,5-didehydromethylenomycin-A",337.52262,672.0234,673.0307,674.0380,696.0297,1345.0541,1347.0687,1369.0604,,,,,,,1000000,1000000,1000000,1000000
C9H10O3,1-(4-Hydroxy-3-methoxy-phenyl)-ethanone,338.02262,673.0234,674.0307,675.0380,697.0297,1347.0541,1349.0687,1371.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10N2O2,beta-(2-Pyridyl)-L-a-alanine; SF-2538,338.52262,674.0234,675.0307,676.0380,698.0297,1349.0541,1351.0687,1373.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10N2O2,BE-39907 A1,339.02262,675.0234,676.0307,677.0380,699.0297,1351.0541,1353.0687,1375.0604,,,,,,,1000000,1000000,1000000,1000000
C10H14O2,"2E,4Z,7Z-Decatrienoic acid; 6105-A",339.52262,676.0234,677.0307,678.0380,700.0297,1353.0541,1355.0687,1377.0604,,,,,,,1000000,1000000,1000000,1000000
C7H5NS2,2-Mercaptobenzothiazole,340.02262,677.0234,678.0307,679.0380,701.0297,1355.0541,1357.0687,1379.0604,,,,,,,1000000,1000000,1000000,1000000
C7H5NO4,"2,6-Pyridinedicarboxylic acid; DPA; DPAc",340.52262,678.0234,679.0307,680.0380,702.0297,1357.0541,1359.0687,1381.0604,,,,,,,1000000,1000000,1000000,1000000
C7H5NO4,"4-Hydroxy-3-nitrosobenzoic acid; 3,4-AHB",341.02262,679.0234,680.0307,681.0380,703.0297,1359.0541,1361.0687,1383.0604,,,,,,,1000000,1000000,1000000,1000000
C7H5NO4,"Pyridine-3,4-dicarboxylic acid; Cinchome",341.52262,680.0234,681.0307,682.0380,704.0297,1361.0541,1363.0687,1385.0604,,,,,,,1000000,1000000,1000000,1000000
C7H5NO4,4-Hydroxy-3-nitrobenzaldehyde,342.02262,681.0234,682.0307,683.0380,705.0297,1363.0541,1365.0687,1387.0604,,,,,,,1000000,1000000,1000000,1000000
C5H5N5S,Thioguanine; 2-Aminopurin-6-thiol,342.52262,682.0234,683.0307,684.0380,706.0297,1365.0541,1367.0687,1389.0604,,,,,,,1000000,1000000,1000000,1000000
C5H5N5O2,7-Hydroxyguanine,343.02262,683.0234,684.0307,685.0380,707.0297,1367.0541,1369.0687,1391.0604,,,,,,,1000000,1000000,1000000,1000000
C5H5N5O2,Guanine N7-oxide; 3780,343.52262,684.0234,685.0307,686.0380,708.0297,1369.0541,1371.0687,1393.0604,,,,,,,1000000,1000000,1000000,1000000
C5H5N5O2,Hydroxyakalone,344.02262,685.0234,686.0307,687.0380,709.0297,1371.0541,1373.0687,1395.0604,,,,,,,1000000,1000000,1000000,1000000
C8H9NO3,NSC 30263; NSC 48927; p-Aminosalicylic a,344.52262,686.0234,687.0307,688.0380,710.0297,1373.0541,1375.0687,1397.0604,,,,,,,1000000,1000000,1000000,1000000
C8H9NO3,"6,7-Dihydroxy-4,5,6,7-tetrahydroindole-4",345.02262,687.0234,688.0307,689.0380,711.0297,1375.0541,1377.0687,1399.0604,,,,,,,1000000,1000000,1000000,1000000
C8H9NO3,2-Hydroxy-5-methoxybenzamide,345.52262,688.0234,689.0307,690.0380,712.0297,1377.0541,1379.0687,1401.0604,,,,,,,1000000,1000000,1000000,1000000
C9H13NO2,"(S)-a-Amino-1,4-cyclohexadiene-1-propano",346.02262,689.0234,690.0307,691.0380,713.0297,1379.0541,1381.0687,1403.0604,,,,,,,1000000,1000000,1000000,1000000
C10H17NO,"[2a(1E,3E),4beta]-2-(1,3-Pentadienyl)-4-",346.52262,690.0234,691.0307,692.0380,714.0297,1381.0541,1383.0687,1405.0604,,,,,,,1000000,1000000,1000000,1000000
C10H17NO,"[2a(1E,3E),4a]-2-(1,3-Pentadienyl)-4-pip",347.02262,691.0234,692.0307,693.0380,715.0297,1383.0541,1385.0687,1407.0604,,,,,,,1000000,1000000,1000000,1000000
C10H17NO,"2,4-Dimethylocta-(2E,4E)-dienoic acid; 6",347.52262,692.0234,693.0307,694.0380,716.0297,1385.0541,1387.0687,1409.0604,,,,,,,1000000,1000000,1000000,1000000
C8H8O2S,2-(2'-Hydroxyphenyl) ethen-1-sulfenic,348.02262,693.0234,694.0307,695.0380,717.0297,1387.0541,1389.0687,1411.0604,,,,,,,1000000,1000000,1000000,1000000
C8H8O2S,1-(1'-Hydroxyethenyl) benzene-2-sulfenic,348.52262,694.0234,695.0307,696.0380,718.0297,1389.0541,1391.0687,1413.0604,,,,,,,1000000,1000000,1000000,1000000
C5H4N4O3,Uric acid,349.02262,695.0234,696.0307,697.0380,719.0297,1391.0541,1393.0687,1415.0604,,,,,,,1000000,1000000,1000000,1000000
C8H8O4,Phloracetophenone; 31-III,349.52262,696.0234,697.0307,698.0380,720.0297,1393.0541,1395.0687,1417.0604,,,,,,,1000000,1000000,1000000,1000000
C8H8O4,Vanillic acid; 4-Hydroxy-3-methoxybenzoi,350.02262,697.0234,698.0307,699.0380,721.0297,1395.0541,1397.0687,1419.0604,,,,,,,1000000,1000000,1000000,1000000
C8H8O4,Orsellinic acid,350.52262,698.0234,699.0307,700.0380,722.0297,1397.0541,1399.0687,1421.0604,,,,,,,1000000,1000000,1000000,1000000
C7H8N2O3,Dephostatin,351.02262,699.0234,700.0307,701.0380,723.0297,1399.0541,1401.0687,1423.0604,,,,,,,1000000,1000000,1000000,1000000
C6H8N4O2,Azepinomycin,351.52262,700.0234,701.0307,702.0380,724.0297,1401.0541,1403.0687,1425.0604,,,,,,,1000000,1000000,1000000,1000000
C11H8N2,3-(2-Isocyanoethenyl)-1H-indole; Indolea,352.02262,701.0234,702.0307,703.0380,725.0297,1403.0541,1405.0687,1427.0604,,,,,,,1000000,1000000,1000000,1000000
C11H8N2,Norharman,352.52262,702.0234,703.0307,704.0380,726.0297,1405.0541,1407.0687,1429.0604,,,,,,,1000000,1000000,1000000,1000000
C9H12O3,"6-Ethyl-4-hydroxy-3,5-dimethylpyran-2-on",353.02262,703.0234,704.0307,705.0380,727.0297,1407.0541,1409.0687,1431.0604,,,,,,,1000000,1000000,1000000,1000000
C9H12O3,Butyrolactone Tue 1718 G2,353.52262,704.0234,705.0307,706.0380,728.0297,1409.0541,1411.0687,1433.0604,,,,,,,1000000,1000000,1000000,1000000
C9H12O3,Butyrolactone Tue 1718 G3,354.02262,705.0234,706.0307,707.0380,729.0297,1411.0541,1413.0687,1435.0604,,,,,,,1000000,1000000,1000000,1000000
C9H12O3,2-(3'-Hydroxy-4'-methoxyphenyl)ethanol,354.52262,706.0234,707.0307,708.0380,730.0297,1413.0541,1415.0687,1437.0604,,,,,,,1000000,1000000,1000000,1000000
C9H12O3,Surugapyrone A; Germicidin D,355.02262,707.0234,708.0307,709.0380,731.0297,1415.0541,1417.0687,1439.0604,,,,,,,1000000,1000000,1000000,1000000
C8H12N2O2,"cyclo(dehydro-Ala,Val)",355.52262,708.0234,709.0307,710.0380,732.0297,1417.0541,1419.0687,1441.0604,,,,,,,1000000,1000000,1000000,1000000
C8H12N2O2,"cyclo-(Ala,Pro)",356.02262,709.0234,710.0307,711.0380,733.0297,1419.0541,1421.0687,1443.0604,,,,,,,1000000,1000000,1000000,1000000
C10H16S,2-Ethyl-5-isobutylthiophene,356.52262,710.0234,711.0307,712.0380,734.0297,1421.0541,1423.0687,1445.0604,,,,,,,1000000,1000000,1000000,1000000
C10H16O2,"6105-B; (2E,4Z)-Decadienoic acid",357.02262,711.0234,712.0307,713.0380,735.0297,1423.0541,1425.0687,1447.0604,,,,,,,1000000,1000000,1000000,1000000
C10H16O2,Unnamed,357.52262,712.0234,713.0307,714.0380,736.0297,1425.0541,1427.0687,1449.0604,,,,,,,1000000,1000000,1000000,1000000
C10H16O2,"(5S,S)-5-Methyl-3-[(2S)-2-methylbutyl]fu",358.02262,713.0234,714.0307,715.0380,737.0297,1427.0541,1429.0687,1451.0604,,,,,,,1000000,1000000,1000000,1000000
C11H20O,"1,2,7,7-Tetramethylbicyclo(2,2,1)heptan-",358.52262,714.0234,715.0307,716.0380,738.0297,1429.0541,1431.0687,1453.0604,,,,,,,1000000,1000000,1000000,1000000
C11H20O,"4,8-Dimethylnona-3,7-dien-2-ol",359.02262,715.0234,716.0307,717.0380,739.0297,1431.0541,1433.0687,1455.0604,,,,,,,1000000,1000000,1000000,1000000
C11H20O,(-)-S-Methylisoborneol,359.52262,716.0234,717.0307,718.0380,740.0297,1433.0541,1435.0687,1457.0604,,,,,,,1000000,1000000,1000000,1000000
C8H11NO3,N-(5-Hydroxy-cyclohex-1-ene-2-on)-acetam,360.02262,717.0234,718.0307,719.0380,741.0297,1435.0541,1437.0687,1459.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10O4,"4-Carboxymethyl-2,3-dimethylbut-2-en-1,4",360.52262,718.0234,719.0307,720.0380,742.0297,1437.0541,1439.0687,1461.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10O4,"4-Carboxymethyl-2,4-dimethylbut-2-en-1,4",361.02262,719.0234,720.0307,721.0380,743.0297,1439.0541,1441.0687,1463.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10O4,"(+)-3,4-Anhydroshikimic acid methyl este",361.52262,720.0234,721.0307,722.0380,744.0297,1441.0541,1443.0687,1465.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10O4,"2,5-Bis(methanol)-furane monoacetat",362.02262,721.0234,722.0307,723.0380,745.0297,1443.0541,1445.0687,1467.0604,,,,,,,1000000,1000000,1000000,1000000
C9H14O3,Prelactone-C,362.52262,722.0234,723.0307,724.0380,746.0297,1445.0541,1447.0687,1469.0604,,,,,,,1000000,1000000,1000000,1000000
C9H14O3,3-(1-Hydroxy-2-methylproyl)-4-methyl-2(5,363.02262,723.0234,724.0307,725.0380,747.0297,1447.0541,1449.0687,1471.0604,,,,,,,1000000,1000000,1000000,1000000
C9H14O3,(E)4-Oxonon-2-enoic acid,363.52262,724.0234,725.0307,726.0380,748.0297,1449.0541,1451.0687,1473.0604,,,,,,,1000000,1000000,1000000,1000000
C9H14O3,DF; Diffusible extracellular factor; 3-,364.02262,725.0234,726.0307,727.0380,749.0297,1451.0541,1453.0687,1475.0604,,,,,,,1000000,1000000,1000000,1000000
C8H14N2O2,Cyclo(L-Leu-Gly),364.52262,726.0234,727.0307,728.0380,750.0297,1453.0541,1455.0687,1477.0604,,,,,,,1000000,1000000,1000000,1000000
C10H18O2,Decenoic acid,365.02262,727.0234,728.0307,729.0380,751.0297,1455.0541,1457.0687,1479.0604,,,,,,,1000000,1000000,1000000,1000000
C11H22O,2-Undecanone,365.52262,728.0234,729.0307,730.0380,752.0297,1457.0541,1459.0687,1481.0604,,,,,,,1000000,1000000,1000000,1000000
C11H22O,7-Methyl-decan-3-one,366.02262,729.0234,730.0307,731.0380,753.0297,1459.0541,1461.0687,1483.0604,,,,,,,1000000,1000000,1000000,1000000
C4H7Cl2NO2,"2-Amino-4,4-dichlorobutanoic acid; Armen",366.52262,730.0234,731.0307,732.0380,754.0297,1461.0541,1463.0687,1485.0604,,,,,,,1000000,1000000,1000000,1000000
C7H9NO4,2-Formyloxymethylclavam,367.02262,731.0234,732.0307,733.0380,755.0297,1463.0541,1465.0687,1487.0604,,,,,,,1000000,1000000,1000000,1000000
C7H9NO4,Cetoniacytone B; (Cetoniacytone),367.52262,732.0234,733.0307,734.0380,756.0297,1465.0541,1467.0687,1489.0604,,,,,,,1000000,1000000,1000000,1000000
C6H9N3O3,2-Amino-6-diazo-5-oxohexanoic acid; 6-Di,368.02262,733.0234,734.0307,735.0380,757.0297,1467.0541,1469.0687,1491.0604,,,,,,,1000000,1000000,1000000,1000000
C7H13N3O2,"8-Amino-[1,4]diazonane-2,5-dione",368.52262,734.0234,735.0307,736.0380,758.0297,1469.0541,1471.0687,1493.0604,,,,,,,1000000,1000000,1000000,1000000
C5H4N2OS2,Holothin; Desacethylholomycin,369.02262,735.0234,736.0307,737.0380,759.0297,1471.0541,1473.0687,1495.0604,,,,,,,1000000,1000000,1000000,1000000
C6H4O6,Rubiginic acid,369.52262,736.0234,737.0307,738.0380,760.0297,1473.0541,1475.0687,1497.0604,,,,,,,1000000,1000000,1000000,1000000
C6H8N2O2S,Thiazolyl-alanine,370.02262,737.0234,738.0307,739.0380,761.0297,1475.0541,1477.0687,1499.0604,,,,,,,1000000,1000000,1000000,1000000
C7H8O5,5-Dehydroshikimic acid,370.52262,738.0234,739.0307,740.0380,762.0297,1477.0541,1479.0687,1501.0604,,,,,,,1000000,1000000,1000000,1000000
C7H9ClN2O,"(2S,7aR)-Clazamycin; Clazamycin A",371.02262,739.0234,740.0307,741.0380,763.0297,1479.0541,1481.0687,1503.0604,,,,,,,1000000,1000000,1000000,1000000
C7H9ClN2O,"(2S,7aS)-Clazamycin B; U 54702D; U 54703",371.52262,740.0234,741.0307,742.0380,764.0297,1481.0541,1483.0687,1505.0604,,,,,,,1000000,1000000,1000000,1000000
C6H8N2O4,beta-Cyanoglutamic acid,372.02262,741.0234,742.0307,743.0380,765.0297,1483.0541,1485.0687,1507.0604,,,,,,,1000000,1000000,1000000,1000000
C8H12O4,Musacin F,372.52262,742.0234,743.0307,744.0380,766.0297,1485.0541,1487.0687,1509.0604,,,,,,,1000000,1000000,1000000,1000000
C8H12O4,"1-(5-Methyl-furan-2-yl)-propane-1,2,3-tr",373.02262,743.0234,744.0307,745.0380,767.0297,1487.0541,1489.0687,1511.0604,,,,,,,1000000,1000000,1000000,1000000
C8H12O4,"5,6-Dihydro-4-formyl-6-hydroxy-2-hydroxy",373.52262,744.0234,745.0307,746.0380,768.0297,1489.0541,1491.0687,1513.0604,,,,,,,1000000,1000000,1000000,1000000
C8H12O4,2-Methyl-4-(1-glyceryl) furan; MFTP; (1,374.02262,745.0234,746.0307,747.0380,769.0297,1491.0541,1493.0687,1515.0604,,,,,,,1000000,1000000,1000000,1000000
C7H12N2O3,Valanimycin,374.52262,746.0234,747.0307,748.0380,770.0297,1493.0541,1495.0687,1517.0604,,,,,,,1000000,1000000,1000000,1000000
C7H12N2O3,WAP-5044-A,375.02262,747.0234,748.0307,749.0380,771.0297,1495.0541,1497.0687,1519.0604,,,,,,,1000000,1000000,1000000,1000000
C9H16O3,Prelactone-B,375.52262,748.0234,749.0307,750.0380,772.0297,1497.0541,1499.0687,1521.0604,,,,,,,1000000,1000000,1000000,1000000
C9H16O3,MKN-004B; (-)-Blastmycinolactol,376.02262,749.0234,750.0307,751.0380,773.0297,1499.0541,1501.0687,1523.0604,,,,,,,1000000,1000000,1000000,1000000
C10H20O2,Decanoic acid; Caprinic acid; Caprynic a,376.52262,750.0234,751.0307,752.0380,774.0297,1501.0541,1503.0687,1525.0604,,,,,,,1000000,1000000,1000000,1000000
C5H7N3O4,Azaserine; Serine diazoacetate ester; O-,377.02262,751.0234,752.0307,753.0380,775.0297,1503.0541,1505.0687,1527.0604,,,,,,,1000000,1000000,1000000,1000000
C7H11NO2S,Thiolactone B4,377.52262,752.0234,753.0307,754.0380,776.0297,1505.0541,1507.0687,1529.0604,,,,,,,1000000,1000000,1000000,1000000
